回号	1~14_rank	15~29_rank	30~43_rank	mean_rank	min_rank	max_rank	1~14_rank_z	15~29_rank_z	30~43_rank_z	mean_rank_z	min_rank_z	max_rank_z	anomaly_score
第2005回	1	2	3	25.83	7	41	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	0.8158671656238408	0.1421649201546947	0.6640876518724393	1.935544498076327
第2004回	1	2	3	25.67	2	38	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	0.7820261711099359	-0.8431250162643733	0.04812579851515525	1.935544498076327
第2003回	2	2	2	18.0	1	32	0.02235390489296395	-0.062104962656382955	0.04155643359897447	-0.8402265034004134	-1.040183003548187	-1.183797908199413	0.12601530114832138
第2002回	2	3	1	17.83	2	30	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.8761825600714385	-0.8431250162643733	-1.5944391437709358	1.7484688984548296
第2001回	4	2	0	13.67	3	26	1.8739114906613967	-0.062104962656382955	-1.81535999406046	-1.7560484174329833	-0.6460670289805597	-2.4157216149139815	3.75137644737824
第2000回	1	4	1	21.5	1	38	-0.9034248879912523	1.7405313893186287	-0.8869017802307427	-0.09995474840872877	-1.040183003548187	0.04812579851515525	3.5308580575406237
第1999回	3	1	2	18.83	2	42	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.6646763443595286	-0.8431250162643733	0.8694082696582007	1.9531122700200436
第1998回	3	1	2	19.17	5	37	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.5927642310174784	-0.25195105441293253	-0.15719481927060613	1.9531122700200436
第1997回	2	2	2	20.83	1	42	0.02235390489296395	-0.062104962656382955	0.04155643359897447	-0.24166391293570877	-1.040183003548187	0.8694082696582007	0.12601530114832138
第1996回	3	1	2	18.83	2	36	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.6646763443595286	-0.8431250162643733	-0.3625154370563675	1.9531122700200436
第1995回	3	2	1	17.67	6	41	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.9100235545853433	-0.05489306712911891	0.6640876518724393	1.897139440664306
第1994回	1	3	2	26.67	10	42	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.9935323868218457	0.7333388820061355	0.8694082696582007	1.7841945349213497
第1993回	2	3	1	21.5	2	41	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.09995474840872877	-0.8431250162643733	0.6640876518724393	1.7484688984548296
第1992回	2	1	3	24.17	10	39	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.46476684754207104	0.7333388820061355	0.25344641630091663	1.9557916909655444
第1991回	0	3	3	32.5	24	42	-1.8292036808754686	0.839213213331123	0.9700146474286917	2.22661362442228	3.4921507039795263	0.8694082696582007	3.638431541635283
第1990回	2	1	3	25.0	10	40	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.6403170065829559	0.7333388820061355	0.458767034086678	1.9557916909655444
第1989回	2	3	1	17.67	2	37	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.9100235545853433	-0.8431250162643733	-0.15719481927060613	1.7484688984548296
第1988回	2	1	3	23.5	3	39	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.323057683015091	-0.6460670289805597	0.25344641630091663	1.9557916909655444
第1987回	2	2	2	23.5	1	42	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.323057683015091	-1.040183003548187	0.8694082696582007	0.12601530114832138
第1986回	2	2	2	23.0	4	36	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.21730457515913607	-0.4490090416967461	-0.3625154370563675	0.12601530114832138
第1985回	1	3	2	20.33	3	32	-0.9034248879912523	0.839213213331123	0.04155643359897447	-0.3474170207916637	-0.6460670289805597	-1.183797908199413	1.7841945349213497
第1984回	4	1	1	14.5	2	32	1.8739114906613967	-0.9634231386438888	-0.8869017802307427	-1.5804982583920981	-0.8431250162643733	-1.183797908199413	3.724236409536028
第1983回	2	1	3	24.83	3	39	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.6043609499119308	-0.6460670289805597	0.25344641630091663	1.9557916909655444
第1982回	2	2	2	21.17	2	35	0.02235390489296395	-0.062104962656382955	0.04155643359897447	-0.1697517995936587	-0.8431250162643733	-0.5678360548421288	0.12601530114832138
第1981回	1	3	2	26.0	9	39	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.8518232222948657	0.5362808947223219	0.25344641630091663	1.7841945349213497
第1980回	4	1	1	14.17	1	32	1.8739114906613967	-0.9634231386438888	-0.8869017802307427	-1.6502953095770283	-1.040183003548187	-1.183797908199413	3.724236409536028
第1979回	0	2	4	32.17	21	42	-1.8292036808754686	-0.062104962656382955	1.898472861258409	2.15681657323735	2.900976742128085	0.8694082696582007	3.7897815047902608
第1978回	2	3	1	20.83	5	36	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.24166391293570877	-0.25195105441293253	-0.3625154370563675	1.7484688984548296
第1977回	3	2	1	17.5	6	41	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.9459796112563683	-0.05489306712911891	0.6640876518724393	1.897139440664306
第1976回	1	4	1	22.83	4	35	-0.9034248879912523	1.7405313893186287	-0.8869017802307427	0.18134851848811104	-0.4490090416967461	-0.5678360548421288	3.5308580575406237
第1975回	3	1	2	20.17	8	39	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.3812580153055686	0.3392229074385083	0.25344641630091663	1.9531122700200436
第1974回	1	3	2	26.0	8	41	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.8518232222948657	0.3392229074385083	0.6640876518724393	1.7841945349213497
第1973回	3	1	2	18.0	2	33	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.8402265034004134	-0.8431250162643733	-0.9784772904136516	1.9531122700200436
第1972回	3	1	2	17.5	3	38	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.9459796112563683	-0.6460670289805597	0.04812579851515525	1.9531122700200436
第1971回	3	2	1	16.67	1	35	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-1.1215297702972533	-1.040183003548187	-0.5678360548421288	1.897139440664306
第1970回	5	0	1	12.5	3	32	2.799690283545613	-1.8647413146313947	-0.8869017802307427	-2.0035106898159176	-0.6460670289805597	-1.183797908199413	5.55133337840775
第1969回	1	4	1	22.83	4	39	-0.9034248879912523	1.7405313893186287	-0.8869017802307427	0.18134851848811104	-0.4490090416967461	0.25344641630091663	3.5308580575406237
第1968回	1	4	1	25.83	8	42	-0.9034248879912523	1.7405313893186287	-0.8869017802307427	0.8158671656238408	0.3392229074385083	0.8694082696582007	3.5308580575406237
第1967回	3	2	1	17.5	4	36	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.9459796112563683	-0.4490090416967461	-0.3625154370563675	1.897139440664306
第1966回	1	3	2	22.67	8	31	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.14750752397420616	0.3392229074385083	-1.3891185259851744	1.7841945349213497
第1965回	2	3	1	19.17	2	40	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.5927642310174784	-0.8431250162643733	0.458767034086678	1.7484688984548296
第1964回	2	4	0	19.33	10	27	0.02235390489296395	1.7405313893186287	-1.81535999406046	-0.5589232365035736	0.7333388820061355	-2.21040099712822	3.5782452882720523
第1963回	2	3	1	21.0	8	33	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.2057078562646837	0.3392229074385083	-0.9784772904136516	1.7484688984548296
第1962回	1	1	4	29.33	12	43	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.5561389206155254	1.1274548565737628	1.0747288874439622	3.7653208878935502
第1961回	1	2	3	25.17	11	35	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	0.676273063253981	0.9303968692899491	-0.5678360548421288	1.935544498076327
第1960回	1	2	3	28.0	1	43	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	1.2748356537186856	-1.040183003548187	1.0747288874439622	1.935544498076327
